"ratebeer_ABV","ratebeer_Added","ratebeer_Score","ratebeer_Style%","ratebeer_rank","ratebeer_beer_name","ratebeer_beer_type"
"60",4.5,"3/17/2016",3.37,94,31,"B-Side Red Ale","4.5% Amber Ale"
"61",5.8,"11/7/2015",3.1,NA,5,"B-Side Rhubarb Saison","5.8% Saison"
"62",6.5,"5/24/2016",3.28,NA,5,"B-Side Rye IPA","6.5% Specialty Grain"
"63",4.2,"1/22/2016",3.26,NA,7,"B-Side Yuzu Berliner Weisse","4.2% Berliner Weisse"
"64",4.5,"11/1/2013",3.27,72,421,"Baby Dogma","4.5% Brown Ale"
"65",4.7,"11/17/2008",2.95,73,25,"Bad Pixie","4.7% Wheat Ale"
"66",9.2,"4/9/2016",3.77,95,101,"Barrel Aged Albino Squid Assassin","9.2% American Strong Ale"
"67",10.5,"4/9/2016",3.82,83,28,"Barrel Aged Hinterland","10.5% Imperial Stout"
"68",4.9,"8/26/2013",3.15,39,9,"BD Aberdeen 01","4.9% Stout"
"69",7.5,"12/27/2013",3.47,94,36,"BD Camden 01","7.5% Abbey Dubbel"
"70",7.5,"4/5/2014",NA,NA,NA,"BD Camden 04","7.5% Belgian Strong Ale"
"71",6.2,"12/1/2013",3.27,81,17,"BD Edinburgh 01","6.2% Brown Ale"
"72",6.2,"12/12/2013",3.02,NA,4,"BD Edinburgh 02","6.2% Amber Ale"
"73",5,"12/27/2013",3.12,62,14,"BD Glasgow 01","5% Schwarzbier"
"74",6,"1/3/2014",2.95,28,21,"BD Nottingham 01","6% California Common"
"75",7.5,"5/19/2014",3.2,NA,8,"BD Shoreditch 01","7.5% India Pale Ale "
"76",6.5,"5/6/2015",3.57,93,80,"Beatnik Brewing Collective - Bounty Hunter","6.5% Stout"
"77",8,"11/6/2016",3.47,97,14,"Beatnik Brewing Collective - Imperial Red Ale","8% Amber Ale"
"78",6.7,"8/13/2012",NA,NA,NA,"Belgium Blonde","6.7% Belgian Ale"
"79",5.5,"12/1/2009",3.41,83,15,"Black Dog","5.5% Stout"
"80",11.8,"7/1/2014",4.07,98,91,"Black Eyed King Imp","11.8% Imperial Stout"
"81",12.7,"10/20/2015",4.13,99,228,"Black Eyed King Imp Vietnamese Coffee Edition","12.7% Imperial Stout"
"82",7.2,"6/2/2016",3.78,97,210,"Black Hammer","7.2% Black IPA"
"83",11.1,"5/4/2014",3.6,91,151,"Black Jacques","11.1% Belgian Strong Ale"
"84",11,"5/10/2016",NA,NA,0,"Blackout <U+0092>16","11% Imperial Stout"
"85",3.2,"10/18/2016",3.17,NA,7,"Blitz","3.2% Berliner Weisse"
"86",3.2,"4/12/2016",3.34,44,24,"Blitz Apricot and Raspberry","3.2% Berliner Weisse"
"87",5,"4/9/2016",3.25,35,15,"Blitz Blackberry","5% Berliner Weisse"
"88",3.2,"6/15/2016",3.34,45,10,"Blitz Blueberry","3.2% Berliner Weisse"
"89",3.2,"5/20/2016",3.21,30,13,"Blitz Bramble","3.2% Berliner Weisse"
"90",3.2,"9/17/2016",3.35,46,42,"Blitz Gin","3.2% Berliner Weisse"
"91",3.2,"6/4/2016",3.38,48,15,"Blitz Lemon and Honey","3.2% Berliner Weisse"
"92",2.8,"11/24/2011",3.09,56,41,"Blitz Pale Ale","2.8% Amber Ale"
"93",2.8,"4/19/2014",3.29,39,45,"Blitz Passionfruit","2.8% Berliner Weisse"
"94",3.4,"10/11/2013",3.43,57,54,"Blitz Raspberry","3.4% Berliner Weisse"
"95",2.6,"3/17/2014",3.15,11,26,"Blitz Redcurrant","2.6% Berliner Weisse"
"96",3.2,"7/7/2016",3.4,49,18,"Blitz Saison","3.2% Berliner Weisse"
"97",3.2,"5/3/2016",3.25,36,29,"Blitz Strawberry","3.2% Berliner Weisse"
"98",3.2,"1/23/2017",3.46,NA,8,"Blitz Strawberry and Vanilla","3.2% Berliner Weisse"
"99",8.5,"5/19/2015",3.86,97,208,"Born To Die","8.5% Imperial IPA"
"100",9.5,"2/8/2017",3.54,54,29,"Born to Die","9.5% Imperial IPA"
"101",9.8,"1/6/2017",3.61,71,22,"Born To Die Prototype","9.8% Imperial IPA"
"102",5.8,"2/20/2014",3.55,86,325,"Bourbon Baby","5.8% Scotch Ale"
"103",18.3,"4/28/2015",3.32,31,27,"Bowman<U+0092>s Beard","18.3% Barley Wine"
"104",5.1,"4/19/2013",3.44,87,41,"Bracken<U+0092>s Porter","5.1% Porter"
"105",4.9,"10/9/2016",NA,NA,NA,"Brewgooder Lager","4.9% Premium Lager"
"106",5,"12/12/2013",3.48,86,380,"Brixton Porter","5% Porter"
"107",7,"4/20/2011",3.09,NA,3,"Butcher<U+0092>s Dog","7% India Pale Ale "
"108",4.5,"10/13/2007",3.2,90,11,"Buzz","4.5% Bitter"
"109",5.2,"9/18/2015",3.17,64,285,"Candy Kaiser","5.2% Altbier"
"110",5.1,"11/30/2016",3.37,89,26,"Casino Rye Ale","5.1% Specialty Grain"
"111",7.1,"11/19/2008",3.51,80,385,"Chaos Theory","7.1% India Pale Ale "
"112",7.2,"9/15/2016",3.35,48,115,"Chili Hammer","7.2% India Pale Ale "
"113",10.2,"1/2/2012",3.65,61,38,"Chris From Stone<U+0092>s Stout","10.2% Imperial Stout"
"114",15,"11/23/2012",3.81,81,123,"Christmas Paradox 2012","15% Imperial Stout"
"115",6.2,"10/23/2011",3.31,49,158,"Christmas Porter","6.2% Porter"
"116",12,"1/16/2014",3.61,76,252,"Clown King","12% Barley Wine"
"117",10,"12/10/2012",3.93,93,881,"Cocoa Psycho","10% Imperial Stout"
"118",9.5,"11/19/2012",3.72,75,22,"Coffee & Chocolate","9.5% Imperial Stout"
"119",9,"12/14/2008",3.51,35,138,"Coffee Imperial Stout","9% Imperial Stout"
"120",7,"6/17/2012",3.27,45,11,"Columbus & Centennial","7% India Pale Ale "
"121",5.6,"11/7/2012",3.2,38,26,"Crime City IPA","5.6% India Pale Ale "
"122",5.4,"5/8/2008",3.06,86,62,"Cult Lager","5.4% Premium Lager"
"123",9.5,"12/15/2008",NA,NA,NA,"Danish Beerhouse Coffee Imperial Stout","9.5% Imperial Stout"
"124",6.5,"10/7/2013",3.61,95,163,"Dead Metaphor","6.5% Stout"
"125",3.8,"4/28/2012",3.51,92,1311,"Dead Pony","Pale Ale  3.8% Session IPA"
"126",5.2,"5/24/2015",3.39,79,32,"Deaf Mermaid","5.2% American Pale Ale"
"127",21,"6/15/2015",NA,NA,0,"Death Or Glory","21% Belgian Strong Ale"
"128",15.1,"4/28/2012",4.03,97,352,"Dog A","15.1% Imperial Stout"
"129",15.1,"7/3/2013",NA,NA,NA,"Dog B","15.1% Imperial Stout"
"130",15.1,"7/9/2014",NA,NA,NA,"Dog C","15.1% Imperial Stout"
"131",16.1,"6/6/2015",3.93,93,158,"Dog D","16.1% Imperial Stout"
"132",16.1,"4/13/2016",NA,NA,NA,"Dog E","16.1% Imperial Stout"
"133",7.4,"3/5/2012",3.63,94,557,"Dogma","7.4% Scotch Ale"
"134",2.8,"10/2/2015",3.2,99,61,"Doodlebug","2.8% Low Alcohol"
"135",3.2,"1/15/2008",3.54,99,68,"Edge","3.2% Mild Ale"
"136",5.2,"4/10/2015",3.37,50,228,"Electric India","5.2% Saison"
"137",6.5,"6/22/2013",3.45,71,376,"Electric India","6.5% Saison"
"138",6.7,"7/24/2015",3.42,62,94,"Elvis Juice","6.7% India Pale Ale "
"139",6.5,"1/12/2016",3.65,94,520,"Elvis Juice","6.5% India Pale Ale "
"140",3.7,"12/18/2009",3.32,98,12,"Equity For Punks","3.7% Bitter"
"141",7.1,"7/14/2011",3.63,88,54,"Equity For Punks 2011","7.1% Black IPA"
"142",4.7,"5/29/2015",NA,NA,NA,"Equity For Punks 4.7","4.7% Pale Lager"
"143",10.3,"7/1/2014",3.47,78,108,"Everyday Anarchy","10.3% Belgian Strong Ale"
"144",6.7,"7/3/2012",3.25,NA,6,"Everything In Its Right Place","6.7% India Pale Ale "
"145",4.7,"4/1/2013",3.04,70,271,"Fake Lager","4.7% Czech Pilsner "
"146",4.7,"6/22/2013",3.15,88,14,"Fake Lager","4.7% Pilsener"
"147",5,"10/26/2014",NA,NA,NA,"Five AM Red","5% Bitter"
"148",28,"9/7/2011",3.54,87,89,"Ghost Deer","28% Belgian Strong Ale"
"149",4.5,"4/18/2011",3.35,98,13,"Growler","4.5% Premium Lager"
"150",5.5,"12/27/2012",2.9,NA,1,"Hair of the Dog","5.5% Brown Ale"
"151",9.2,"10/26/2012",NA,NA,NA,"Hard Høst IPA","9.2% Imperial IPA"
"152",9,"8/7/2007",3.41,38,611,"Hardcore IPA","9% Imperial IPA"
"153",9.2,"1/3/2010",3.87,97,1698,"Hardcore IPA","9.2% Imperial IPA"
"154",9.2,"3/11/2012",3.67,88,25,"Hardcore NZ","9.2% Imperial IPA"
"155",12.8,"4/30/2015",3,3,18,"Hardcore Strawberry Port Dundas Cask","12.8% Imperial IPA"
"156",7.6,"7/30/2010",3.55,90,101,"Hårdkogt IPA","7.6% India Pale Ale "
"157",5.2,"9/26/2015",NA,NA,NA,"Helheim Hop","5.2% American Pale Ale"
"158",8.2,"9/18/2012",3.67,84,148,"Hello, My Name is Beastie","8.2% Imperial IPA"
"159",5.5,"9/8/2015",3.14,22,256,"Hello, My Name Is Holy Moose","5.5% India Pale Ale "
"160",8.2,"1/27/2011",3.72,89,289,"Hello, My Name is Ingrid","8.2% Imperial IPA"
"161",4.4,"4/30/2015",3.37,58,197,"Hello, My Name Is Little Ingrid","4.4% Session IPA"
"162",8.2,"7/17/2013",3.44,42,187,"Hello, My Name is Mette Marit","8.2% Imperial IPA"
"163",8.2,"6/4/2014",3.57,61,143,"Hello, My Name is Päivi","8.2% Imperial IPA"
"164",8.2,"2/4/2014",3.63,76,202,"Hello, My Name is Vladimir","8.2% Imperial IPA"
"165",9,"6/8/2015",3.88,89,156,"Hinterland","9% Imperial Stout"
"166",4.2,"12/12/2013",3.41,96,93,"Hobo Pop","4.2% Wheat Ale"
"167",6.5,"12/13/2014",3.36,49,92,"Hop Fiction","6.5% India Pale Ale "
"168",5.2,"7/5/2015",3.54,93,249,"Hop Fiction Pale Ale","5.2% American Pale Ale"
"169",22,"12/21/2016",3.43,40,28,"Hop Shot","22% Imperial IPA"
"170",6.3,"12/11/2015",NA,NA,NA,"Hopped-Up Brown Ale","6.3% Brown Ale"
"171",4.2,"10/12/2012",3.39,56,71,"Hoppy Christmas","4.2% India Pale Ale "
"172",7.2,"11/8/2012",3.7,96,607,"Hoppy Christmas","7.2% India Pale Ale "
"173",5.5,"5/17/2007",3.2,97,77,"HopRocker","5.5% Premium Lager"
"174",7.8,"9/16/2011",3.63,83,207,"Hops Kill Nazis","7.8% American Strong Ale"
"175",6.2,"9/8/2011",NA,NA,NA,"Høst Porter","6.2% Porter"
"176",3.5,"5/8/2009",3.53,99,89,"How To Disappear Completely","3.5% Mild Ale"
"177",2.8,"9/21/2013",3.33,93,59,"How To Disappear Completely","2.8% Mild Ale"
"178",5.4,"6/30/2012",3.31,73,17,"Hunter Foundation Pale Ale","5.4% American Pale Ale"
"179",10.27,"7/16/2011",NA,NA,NA,"Imperial Wheat","10.27% Weizen Bock"
"180",6.5,"12/12/2013",3.57,98,102,"Interstellar","6.5% Specialty Grain"
"181",7.2,"2/23/2013",3.59,90,254,"IPA Is Dead - Amarillo","7.2% India Pale Ale "
"182",7.5,"2/13/2011",3.45,79,190,"IPA Is Dead - Bramling X","7.5% India Pale Ale "
"183",6.7,"3/22/2012",3.27,42,181,"IPA Is Dead - Challenger","6.7% India Pale Ale "
"184",7.2,"4/10/2015",3.51,82,200,"IPA is Dead - Chinook","7.2% India Pale Ale "
"185",7.5,"2/13/2011",3.65,96,214,"IPA Is Dead - Citra","7.5% India Pale Ale "
"186",7.2,"3/27/2014",3.56,87,236,"IPA is Dead - Comet","7.2% India Pale Ale "
"187",6.7,"3/28/2013",3.02,12,280,"IPA Is Dead - Dana","6.7% India Pale Ale "
"188",6.7,"5/25/2013",NA,NA,0,"IPA Is Dead - El Danarado","6.7% India Pale Ale "
"189",6.7,"3/28/2013",3.4,60,289,"IPA Is Dead - El Dorado","6.7% India Pale Ale "
"190",7.2,"4/10/2015",3.47,74,195,"IPA is Dead - Ella","7.2% India Pale Ale "
"191",7.2,"3/27/2014",3.49,78,228,"IPA is Dead - EXP366","7.2% India Pale Ale "
"192",6.7,"3/22/2012",3.56,88,190,"IPA Is Dead - Galaxy","6.7% India Pale Ale "
"193",6.7,"3/28/2013",3.3,43,285,"IPA Is Dead - Goldings","6.7% India Pale Ale "
"194",6.7,"3/22/2012",3.66,96,188,"IPA Is Dead - HBC","6.7% India Pale Ale "
"195",7.2,"3/27/2014",3.38,53,249,"IPA is Dead - Kohatu","7.2% India Pale Ale "
"196",7.2,"4/10/2015",3.46,72,183,"IPA is Dead - Mandarina Bavaria","7.2% India Pale Ale "
"197",6.7,"3/22/2012",3.6,92,185,"IPA Is Dead - Motueka","6.7% India Pale Ale "
"198",7.5,"2/13/2011",3.61,94,189,"IPA Is Dead - Nelson Sauvin","7.5% India Pale Ale "
"199",7.2,"4/10/2015",3.16,25,180,"IPA is Dead - Pioneer","7.2% India Pale Ale "
"200",6.7,"2/6/2012",3.57,88,67,"IPA Is Dead - Simcoe","6.7% India Pale Ale "
"201",7.5,"2/11/2011",3.36,61,186,"IPA Is Dead - Sorachi Ace","7.5% India Pale Ale "
"202",6.7,"11/7/2013",3.44,78,43,"IPA is Dead - Victoria<U+0092>s Secret","6.7% India Pale Ale "
"203",6.7,"3/28/2013",3.32,47,293,"IPA Is Dead - Waimea","6.7% India Pale Ale "
"204",7.2,"7/6/2012",3.75,98,1085,"Jack Hammer","7.2% India Pale Ale "
"205",7.7,"4/27/2012",3.07,NA,2,"Jaffa Kake Stout","7.7% Stout"
"206",6,"4/23/2014",3.34,57,13,"Jasmine IPA","6% India Pale Ale "
"207",4.7,"2/13/2016",3.67,96,450,"Jet Black Heart","4.7% Sweet Stout"
"208",5,"7/9/2011",3.21,91,26,"Juniper Wheat","5% Wheat Ale"
"209",4.7,"5/21/2016",3.01,99,170,"KingPin","4.7% Pale Lager"
"210",8.2,"11/18/2014",3.6,70,175,"Konnichiwa Kitsune","8.2% Imperial IPA"
"211",7.25,"5/9/2013",NA,NA,NA,"Lactose Scotch Ale","7.25% Scotch Ale"
"212",7.2,"4/18/2012",3.79,98,1019,"Libertine Black Ale","7.2% Black IPA"
"213",6.1,"2/7/2012",3.55,94,39,"Libertine Porter","6.1% Porter"
"214",5.2,"2/14/2013",3.48,90,50,"Lichtenstein Pale Ale","5.2% American Pale Ale"
"215",3.8,"11/5/2016",NA,NA,NA,"Live Dead Pony Club","3.8% Session IPA"
"216",5.5,"8/10/2015",3.36,91,164,"Lizard Bride","5.5% Fruit Beer"
"217",7.5,"5/11/2013",3.31,47,54,"Misspent Youth","7.5% Scotch Ale"
"218",14.5,"9/26/2013",3.87,98,196,"Mix Tape 8","14.5% American Strong Ale"
"219",7.2,"3/11/2016",3.59,90,140,"Monk Hammer","7.2% India Pale Ale "
"220",5.2,"12/20/2013",3.48,91,118,"Moshi Moshi 15","5.2% American Pale Ale"
"221",4.7,"11/24/2012",3.34,41,14,"Movember","4.7% Black IPA"
"222",7.2,"10/25/2011",3.44,86,22,"Mr Miyagi Wasabi Stout","7.2% Stout"
"223",9.2,"4/29/2016",NA,NA,NA,"Mr. President","9.2% Imperial IPA"
"224",11.3,"6/12/2012",3.61,97,36,"Mr. Squirrel","11.3% Doppelbock"
"225",0.5,"2/6/2010",2.87,96,613,"Nanny State","0.5% Low Alcohol"
"226",1.1,"9/29/2009",3.21,99,146,"Nanny State","1.1% Low Alcohol"
"227",6.5,"7/25/2012",3.25,40,129,"Never Mind The Anabolics","6.5% India Pale Ale "
"228",4.6,"11/7/2015",3.36,98,48,"No Label","4.6% Kölsch"
"229",5.5,"9/27/2015",3.18,26,25,"Not Another Damned Saison","5.5% Saison"
"230",7.1,"12/22/2008",NA,NA,NA,"Not Just For Christmas","7.1% India Pale Ale "
"231",4.2,"12/10/2012",3.06,88,43,"Nuns with Guns","4.2% Pilsener"
"232",7.5,"11/27/2011",3.4,58,317,"Old World India Pale Ale","7.5% India Pale Ale "
"233",9.5,"11/18/2013",3.88,89,337,"Old World Russian Imperial Stout","9.5% Imperial Stout"
"234",15,"3/18/2015",4.01,96,160,"Paradox Compass Box","15% Imperial Stout"
"235",10,"7/4/2008",3.77,77,138,"Paradox Glen Grant","10% Imperial Stout"
"236",15,"3/8/2013",3.96,94,77,"Paradox Grain","15% Imperial Stout"
"237",10,"6/11/2007",3.92,93,84,"Paradox Grain","10% Imperial Stout"
"238",10,"10/14/2007",3.79,84,111,"Paradox Grain","10% Imperial Stout"
"239",10,"8/23/2008",3.67,56,181,"Paradox Grain","10% Imperial Stout"
"240",10,"9/1/2008",NA,NA,NA,"Paradox Grain","10% Imperial Stout"
"241",15,"4/25/2014",4.01,96,207,"Paradox Heaven Hill","15% Imperial Stout"
"242",10,"6/16/2007",NA,NA,NA,"Paradox Invergordon 1965","10% Imperial Stout"
"243",13.8,"3/8/2015",3.78,77,43,"Paradox Islay","13.8% Imperial Stout"
"244",15,"6/22/2016",3.82,83,53,"Paradox Islay","15% Imperial Stout"
"245",10,"5/17/2007",3.62,47,169,"Paradox Islay","10% Imperial Stout"
"246",10,"6/7/2008",3.75,76,32,"Paradox Islay","Anniversary Edition     10% Imperial Stout"
"247",10,"11/1/2007",NA,NA,NA,"Paradox Islay","10% Imperial Stout"
"248",10,"10/14/2007",3.68,55,177,"Paradox Islay","10% Imperial Stout"
"249",10,"10/28/2007",3.63,48,189,"Paradox Islay","10% Imperial Stout"
"250",10,"7/31/2008",NA,NA,NA,"Paradox Islay","10% Imperial Stout"
"251",10,"6/25/2009",NA,NA,NA,"Paradox Islay","10% Imperial Stout"
"252",15,"11/5/2012",3.99,96,223,"Paradox Isle Of Arran","15% Imperial Stout"
"253",10,"9/24/2008",3.79,79,583,"Paradox Isle of Arran","10% Imperial Stout"
"254",15,"1/2/2012",3.9,91,330,"Paradox Jura","15% Imperial Stout"
"255",10,"1/3/2009",3.5,40,35,"Paradox Longrow","10% Imperial Stout"
"256",10,"7/4/2008",3.75,75,145,"Paradox Macallan","10% Imperial Stout"
"257",10,"12/29/2008",NA,NA,NA,"Paradox Port Dundas 1966","10% Imperial Stout"
"258",15,"4/30/2015",3.51,35,15,"Paradox Rum","15% Imperial Stout"
"259",10,"7/31/2008",3.59,43,446,"Paradox SmokeHead","10% Imperial Stout"
"260",10,"5/3/2008",NA,NA,NA,"Paradox Speyside","10% Imperial Stout"
"261",10,"8/22/2007",3.81,82,233,"Paradox Speyside","10% Imperial Stout"
"262",10,"5/3/2008",3.61,45,102,"Paradox Speyside","10% Imperial Stout"
"263",10,"8/16/2009",NA,NA,NA,"Paradox Speyside","10% Imperial Stout"
"264",10,"6/26/2009",NA,NA,NA,"Paradox Speyside","10% Imperial Stout"
"265",10,"1/2/2009",3.68,56,156,"Paradox Springbank","10% Imperial Stout"
"266",9,"7/17/2015",3,NA,1,"Peach Therapy","9% Abbey Tripel"
"267",9.2,"2/13/2015",3.44,29,28,"Pilot Brew 002","9.2% Imperial Stout"
"268",7.2,"3/23/2015",3.46,71,27,"Pilot Brew 003","7.2% India Pale Ale "
"269",5,"4/1/2015",3.01,55,31,"Pilot Brew 004","5% Fruit Beer"
"270",6.3,"4/13/2015",3.07,76,28,"Pilot Brew 005","6.3% Bitter"
"271",5.6,"4/19/2015",3.31,51,33,"Pilot Brew 006","5.6% Stout"
"272",6.5,"4/25/2015",3.37,51,31,"Pilot Brew 007","6.5% Saison"
"273",6.1,"9/9/2015",3.27,42,10,"Pilot Brew 011","6.1% India Pale Ale "
"274",4.6,"9/15/2015",3.19,46,33,"Pilot Brew 012","4.6% Mead"
"275",7.2,"10/16/2015",NA,NA,NA,"Pilot Brew 013","7.2% India Pale Ale "
"276",5.6,"10/16/2015",3.35,NA,8,"Pilot Brew 014","5.6% India Pale Ale "
"277",3.6,"11/28/2015",NA,NA,NA,"Pilot Brew 016","3.6% Saison"
"278",4.9,"7/14/2011",3.14,86,55,"Prototype 17","4.9% Fruit Beer"
"279",4.1,"12/26/2011",2.86,59,21,"Prototype 17.5","4.1% Fruit Beer"
"280",4.1,"2/21/2012",NA,NA,NA,"Prototype 17.6","4.1% Fruit Beer"
"281",9.3,"5/31/2010",3.17,89,21,"Prototype 27","9.3% Fruit Beer"
"282",5.3,"12/11/2015",NA,NA,NA,"Prototype Black IPA","5.3% Black IPA"
"283",6.3,"12/12/2015",3.51,96,125,"Prototype Hopped-Up Brown Ale","6.3% Brown Ale"
"284",4.5,"3/28/2016",NA,NA,NA,"Prototype Kolsch","4.5% Kölsch"
"285",4.8,"12/11/2015",NA,NA,NA,"Prototype Milk Stout","4.8% Sweet Stout"
"286",4.5,"6/28/2016",NA,NA,NA,"Prototype Red Ale","4.5% Amber Ale"
"287",4.4,"12/11/2015",3.55,99,107,"Prototype Session India Pale Lager","4.4% Premium Lager"
"288",6,"4/25/2007",3.46,71,1043,"Punk IPA","6% India Pale Ale "
"289",5.6,"12/7/2010",3.73,97,2079,"Punk IPA","5.6% India Pale Ale "
"290",8,"11/25/2007",3.25,NA,8,"Punk IPA Speyside","8% Imperial IPA"
"291",6,"8/16/2009",3.55,86,81,"Punk Monk","6% India Pale Ale "
"292",4.6,"9/6/2013",3.3,61,78,"Punk Pale Ale","4.6% American Pale Ale"
"293",10.27,"4/28/2011",3.28,56,27,"Rabiator","10.27% Weizen Bock"
"294",10,"11/27/2008",3.59,43,54,"Rake Raspberry Imperial Stout","10% Imperial Stout"
"295",4.1,"2/21/2012",2.92,66,38,"Raspberry Revolver","4.1% Fruit Beer"
"296",9,"5/1/2015",3.49,31,31,"Raspberry Riptide","9% Imperial Stout"
"297",4.6,"3/22/2011",2.75,NA,5,"Raspberry Wit","4.6% Fruit Beer"
"298",11.1,"9/3/2012",3.32,40,15,"Red Imperial Wheat","11.1% American Strong Ale"
"299",16.7,"4/28/2015",3.71,99,55,"Renaissance Imperial Braggot","16.7% Traditional Ale"
"300",8.7,"3/4/2015",3.73,90,209,"Restorative Beverage For Invalids and Convalescents","8.7% Imperial IPA"
